,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
315,Nassir Little,73,#9,Portland Trail Blazers,F,2/11/2000,1.96,99.8,2105520,USA,2019,1,25,North Carolina,21,2,26,Overweight,0
316,Grayson Allen,72,#3,Memphis Grizzlies,G,10/8/1995,1.93,93,2429400,USA,2018,1,21,Duke,25,2,25,Overweight,0
317,Antonio Blakeney,72,#0,,G-F,10/4/1996,1.93,89.4,1488231,USA,2017,0,0,LSU,24,3,24,Normal,0
318,Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/1991,1.96,83.5,2028594,USA,2013,1,11,Syracuse,29,7,21.7,Normal,0
319,Troy Daniels,72,#30,Denver Nuggets,G,7/15/1991,1.93,90.7,2487033,USA,2013,0,0,VCU,29,7,24.3,Normal,0
320,Donte DiVincenzo,72,#0,Milwaukee Bucks,G,1/31/1997,1.93,93,2905800,USA,2018,1,17,Villanova,24,3,25,Overweight,0
321,Jared Dudley,72,#10,Los Angeles Lakers,F,7/10/1985,1.98,102.1,2564753,USA,2007,1,22,Boston College,35,13,26,Overweight,0
322,Cristiano Felicio,72,#6,Chicago Bulls,F,7/7/1992,2.08,122.5,8156500,Brazil,2014,0,0,,28,6,28.3,Overweight,1
323,Tim Frazier,72,#0,,G,11/1/1990,1.83,77.1,1620564,USA,2014,0,0,Penn State,30,6,23,Normal,0
324,Langston Galloway,72,#9,Detroit Pistons,G,12/9/1991,1.85,91.6,7333333,USA,2014,0,0,Saint Joseph's,29,6,26.8,Overweight,0
325,Justin Holiday,72,#8,Indiana Pacers,G,4/5/1989,1.98,81.6,4767000,USA,2011,0,0,Washington,32,10,20.8,Normal,0
326,Chandler Hutchison,72,#15,Chicago Bulls,F,4/26/1996,2.01,88.9,2332320,USA,2018,1,22,Boise State,24,2,22,Normal,0
327,Wesley Iwundu,72,#25,Orlando Magic,F,12/20/1994,1.98,93,1618520,USA,2017,2,33,Kansas State,26,3,23.7,Normal,0
328,Brandon Knight,72,#0,Detroit Pistons,G,12/2/1991,1.88,85.7,15643750,USA,2011,1,8,Kentucky,29,9,24.2,Normal,0
329,Courtney Lee,72,#1,Dallas Mavericks,G-F,10/3/1985,1.96,90.7,12759670,USA,2008,1,22,Western Kentucky,35,12,23.6,Normal,0
330,Thon Maker,72,#7,Detroit Pistons,F-C,2/25/1997,2.13,98,3569643,Australia,2016,1,10,,24,5,21.6,Normal,1
